Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Колодка тормозная передняя  Daewoo Nexia R13 (б/асб.)/инд.уп./70773/";"Колодка тормозная передняя  Daewoo Nexia R13 (б/асб.)/инд.уп./70773/";;RUB;256;1;0;0;161;5;68;88;;;;1;Автозапчасти;;;;;;842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transmaster;;;;;;;;;;;;;;;;;Daewoo;70798;;;;;;;;;;;;;;;;;;;;;;;11046152;286;Украина;компл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Колодка тормозная передняя  Daewoo Nexia R14 (б/асб.)/инд.уп./70777/";"Колодка тормозная передняя  Daewoo Nexia R14 (б/асб.)/инд.уп./70777/";;RUB;259;1;0;0;77;5;5;67;;;;1;Автозапчасти;;;;;;843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transmaster;;;;;;;;;;;;;;;;;Daewoo;70802;;;;;;;;;;;;;;;;;;;;;;;96245178;393;Украина;компл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Колодка тормозная передняя  Hyundai Accent (б/асб.)/инд.уп./70774/";"Колодка тормозная передняя  Hyundai Accent (б/асб.)/инд.уп./70774/";;RUB;263;1;0;0;150;5;84;61;;;;1;Автозапчасти;;;;;;844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transmaster;;;;;;;;;;;;;;;;;Hyindai;70799;;;;;;;;;;;;;;;;;;;;;;;58101;224;Украина;компл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Колодка тормозная передняя  Renault Logan (б/асб.)/инд.уп./70625/";"Колодка тормозная передняя  Renault Logan (б/асб.)/инд.уп./70625/";;RUB;224;1;0;0;671;580;24;67;;;;1;Автозапчасти;;;;;;845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transmaster;;;;;;;;;;;;;;;;;Renault;70650;;;;;;;;;;;;;;;;;;;;;;;425041;141;Украина;компл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"!Крепежные изделия";;;;;;;;;;;;;;;1;;;;;;;fasteners;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70492";"Монтажные компоненты /70492";;RUB;129,53;1;0;0;275;174;77;24;;;;1;Автозапчасти;;;;;;680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70517;;;;;;;;;;;;;;;;;;;;;;;251;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70493";"Монтажные компоненты /70493";;RUB;41,08;1;0;19;277;244;6;27;;;;1;Автозапчасти;;;;;;681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70518;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70494";"Монтажные компоненты /70494";;RUB;41,08;1;0;0;158;21;42;95;;;;1;Автозапчасти;;;;;;682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70519;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70495";"Монтажные компоненты /70495";;RUB;43,18;1;0;0;2147;2045;35;67;;;;1;Автозапчасти;;;;;;683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70520;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70496";"Монтажные компоненты /70496";;RUB;59,24;1;0;0;113;1;88;24;;;;1;Автозапчасти;;;;;;684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70521;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70497";"Монтажные компоненты /70497";;RUB;38,23;1;0;0;328;204;37;87;;;;1;Автозапчасти;;;;;;685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70522;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70498";"Монтажные компоненты /70498";;RUB;48,44;1;0;0;106;60;23;23;;;;1;Автозапчасти;;;;;;686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70523;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70499";"Монтажные компоненты /70499";;RUB;71,09;1;0;0;207;120;29;58;;;;1;Автозапчасти;;;;;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70524;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70500";"Монтажные компоненты /70500";;RUB;49,27;1;0;0;62;45;5;12;;;;1;Автозапчасти;;;;;;688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70525;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70501";"Монтажные компоненты /70501";;RUB;49,76;1;0;0;154;1;87;66;;;;1;Автозапчасти;;;;;;689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70526;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70502";"Монтажные компоненты /70502";;RUB;36,32;1;0;0;81;1;2;78;;;;1;Автозапчасти;;;;;;690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70527;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70503";"Монтажные компоненты /70503";;RUB;62,66;1;0;0;105;12;67;26;;;;1;Автозапчасти;;;;;;691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70528;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70504";"Монтажные компоненты /70504";;RUB;71,09;1;0;0;52;0;34;18;;;;1;Автозапчасти;;;;;;692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70529;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70505";"Монтажные компоненты /70505";;RUB;75,73;1;0;0;96;15;7;74;;;;1;Автозапчасти;;;;;;693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70530;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70506";"Монтажные компоненты /70506";;RUB;64,76;1;0;0;45;10;17;18;;;;1;Автозапчасти;;;;;;694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70531;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70507";"Монтажные компоненты /70507";;RUB;47,39;1;0;0;93;4;14;75;;;;1;Автозапчасти;;;;;;695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70532;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70508";"Монтажные компоненты /70508";;RUB;28,44;1;0;0;609;601;2;6;;;;1;Автозапчасти;;;;;;696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70533;;;;;;;;;;;;;;;;;;;;;;;250;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70510";"Монтажные компоненты /70510";;RUB;75,56;1;0;0;94;2;2;90;;;;1;Автозапчасти;;;;;;697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70535;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70576";"Монтажные компоненты /70576";;RUB;56,08;1;0;0;132;2;92;38;;;;1;Автозапчасти;;;;;;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70601;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /70668";"Монтажные компоненты /70668";;RUB;40;1;0;0;108;12;24;72;;;;1;Автозапчасти;;;;;;699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;70693;;;;;;;;;;;;;;;;;;;;;;;256;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /71129";"Монтажные компоненты /71129";;RUB;30,7;1;0;0;257;105;58;94;;;;1;Автозапчасти;;;;;;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;71154;;;;;;;;;;;;;;;;;;;;;;;250;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /71130";"Монтажные компоненты /71130";;RUB;44,9;1;0;0;4057;4012;26;19;;;;1;Автозапчасти;;;;;;701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;71155;;;;;;;;;;;;;;;;;;;;;;;250;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /71131";"Монтажные компоненты /71131";;RUB;35,5;1;0;0;174;12;95;67;;;;1;Автозапчасти;;;;;;702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;71156;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /71132";"Монтажные компоненты /71132";;RUB;111;1;0;0;190;45;84;61;;;;1;Автозапчасти;;;;;;703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;71157;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Монтажные компоненты /71133";"Монтажные компоненты /71133";;RUB;16,55;1;0;0;148;15;63;70;;;;1;Автозапчасти;;;;;;704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopartner;;;;;;;;;;;;;;;;;;71158;;;;;;;;;;;;;;;;;;;;;;;255;;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Электробензонасосы;;;;;;;;;;;;;;;1;;;;;;;electro-gasoline-pumps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Модуль электробензонасоса (3 bar) 85 л/ч /71002";"Модуль электробензонасоса (3 bar) 85 л/ч /71002";;RUB;695;1;0;0;67;0;39;28;;;;1;Автозапчасти;;;;;;851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71027;;;;;;;;;;;;;;;;;;;;;;;31111;14;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Электробензонасос в сборе Daewoo Nexia, Espero (3 bar) 105 л/ч /71001";"Электробензонасос в сборе Daewoo Nexia, Espero (3 bar) 105 л/ч /71001";;RUB;1330;1;0;0;68;0;68;0;;;;1;Автозапчасти;;;;;;852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71026;;;;;;;;;;;;;;;;;;;;;;;96344792;14;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Электробензонасос в сборе Daewoo Nexia, Espero (3 bar) 85 л/ч /71001";"Электробензонасос в сборе Daewoo Nexia, Espero (3 bar) 85 л/ч /71001";;RUB;1450;1;0;0;59;0;46;13;;;;1;Автозапчасти;;;;;;853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71025;;;;;;;;;;;;;;;;;;;;;;;96494976;14;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Шрусы;;;;;;;;;;;;;;;1;;;;;;;shrusy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Шрус наружный Daewoo (Espero. Lanos 16v под ABS, Rezzo) /70991";"Шрус наружный Daewoo (Espero. Lanos 16v под ABS, Rezzo) /70991";;RUB;710,72;1;0;499;117;21;18;78;;;;1;Автозапчасти;;;;;;846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71016;;;;;;;;;;;;;;;;;;;;;;;96257801;2;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Шрус наружный Daewoo (Lanos 16v, Nexia DOHC, Nubira, Espero) /70992";"Шрус наружный Daewoo (Lanos 16v, Nexia DOHC, Nubira, Espero) /70992";;RUB;725,63;1;0;0;137;15;85;37;;;;1;Автозапчасти;;;;;;847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71017;;;;;;;;;;;;;;;;;;;;;;;96257802;2;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Шрус наружный Daewoo (Lanos 8v под ABS) /70993";"Шрус наружный Daewoo (Lanos 8v под ABS) /70993";;RUB;757,43;1;0;0;186;41;49;96;;;;1;Автозапчасти;;;;;;848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71018;;;;;;;;;;;;;;;;;;;;;;;96257803;2;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Шрус наружный Daewoo (Lanos 8v) /70994";"Шрус наружный Daewoo (Lanos 8v) /70994";;RUB;725,63;1;0;0;66;12;45;9;;;;1;Автозапчасти;;;;;;849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71019;;;;;;;;;;;;;;;;;;;;;;;96257804;2;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Шрус наружный Daewoo Matiz /70990";"Шрус наружный Daewoo Matiz /70990";;RUB;656,05;1;0;0;149;54;82;13;;;;1;Автозапчасти;;;;;;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;QAP;;;;;;;;;;;;;;;;;Daewoo;71015;;;;;;;;;;;;;;;;;;;;;;;96273571;2;Польша;шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Самокаты;;;;;;;;;;;;;"Вне конкуренции при передвижении по огромному мегаполису.";;1;;;;;;;scooters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Razor;;;;;;;;;;;;;;;1;;;;;;;razor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor A4";A4;R8276290;RUB;0;1;0;0;0;;;;;;;1;Самокаты;Razor;;A4;A4;A4;a4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ножной;;;Алюминий;;;;;;"100 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/76/01/176/images/414/414.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Razor A5 Lux";"A5 Lux";R7348462;RUB;4800;1;5100;3900;;;25;25;;;;1;Самокаты;Razor;;"A5 Lux";"A5 Lux";"A5 Lux";a5-lux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"200 мм";Ножной;;;Алюминий;Полиуретан;;"104 см";;"890 мм";"100 кг";"3.9 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/63/01/163/images/424/424.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
